ID;Smell;Why;Refactoring;Why;Francisco;Jacopo;Agreement
53;unnecessary privileges to microservices;"Do you share a single database login across all your services?ow much data do your services have access to? All of it? Or only what they need?f an attacker got hold of one service�s database credentials, how much data would they get access to?o your DB authorisation policies allow updates and deletes to tables that the application only ever inserts into?o you share a single messaging middleware login across all your services?oes your messaging middleware even have login credentials?o your services have access to all messages in your system, or only the ones they need to see?an your services send messages to any queue, or only where the ones they need to?f an attacker got hold of one service�s messaging credentials, how much data could they get access to?f an attacker got hold of one service�s messaging credentials, what operations could they initiate? ";Least privilege principle;;X;X;1
54;Centralized authorization;The most important aspect of securing communication between application components is preventing unauthorized access, which usually involves the processes of authentication and authorization.;Use a token-based approach;"An access key, or access token, is transmitted with each request, and only if a known and correct key is passed, access is granted to the service.oken-based authentication and authorization was used to connect to the database servers.";X;X;1
55;Non-secure communication;"The communication channel between microservices should be secure.ommunication between microservices and service registry should use a secure channel.";Use transport Layer Security (TLS);"A secure channel should be used for communications.ransport-layer security offers secure point-to-point communication channels.uggested protection measures: Use transport-layer security.";X;X;1
55;Unauthenticated API requests;A weak set of APIs exposes microservices to a variety of security attacks that may result in tampering with data, information disclosure, denial of service and elevation of privileges.;Use Authentication;"Use keys or security tokens or passwords to protect API.nly authenticated users should access the API.he API should validate all requests.";X;X;1
55;Decentralised authentication;;Single Sign-on;;;X;0
55;Centralized authorization;;Use a token-based approach;"REST web services can use JSON Web Tokens (JWT) as the format for security tokens for authentication and ensuring message integrity.he microservices composition should use multi-factor authentication at all entry points.ny credentials used in the microservices composition should be rotated periodically.";X;X;1
56;Decentralized security policy management;A further requirement is to decouple the control of the microservice from the service itself.;Use API Gateway;"We approach this by designing our architecture using reusable and configurable gateways at the level of each microservice. These components can be added to secure primitive services, and modified to meet different policies.n order for a request to reach a microservice, security policies enforced by the gateway have to be met by the requesting service or party (the consumer microservice) note that the consumer microservice should have another gateway to enforce access control policies.";X;X;1
56;Non-standard Authorization;;Use OAuth 2.0;Open Authorization 2 (OAuth 2) is one of the most commonly used mechanisms in a microservice architecture for access delegation. OAuth 2 access scopes are used to define the token holder�s access rights.;X;X;1
56;Non-standard authentication;;Use OpenID Connect;OpenID Connect, built on top of OAuth 2, is commonly used for authentication with MSA it is an enabler for identity federation by producing an ID token with end-user information, and practice of the separation of concerns principle.;X;X;1
56;Centralized authorization;On the other hand, we have the confused deputy problem. As explained, this consists of a component that has access to sensitive resources, and which can be manipulated by an adversary to have indirect access to these resources.;Use a token-based approach;The key point to prevent this is to have the resource services, the Department of Justice and Interior Affairs microservices in our scenario, verify that the calling microservice is acting truthfully on behalf of the user. This requires, for example, tokens to be individual to each component, and have finer granularity reflecting users� consents on access rules.;X;X;1
58;Non-standard Authorization;Many security analysts do not prefer starting from scratch and recommend using OAuth2 and OpenID Connect to delegate authorization management to a third party or a single (internal) authentication service;Use OAuth 2.0;Using libraries and functions can shorten the development time and make it easier. By the same token, several solutions for improving the security level of your OAuth-based authorization service have already been built by some of the biggest companies and smartest engineers around.;X;X;1
58;No layered security;You need to identify your most sensitive services, and manually apply a number of different layers of security to them, so that it gets harder for a potential attacker who is able to exploit one of your security layers.;Use defense-in-depth;Microservices makes it easier to adopt this strategy in a very microscopic and strategic way�by focusing your security efforts and resources on specific microservices. The architecture diversifies the layers of security you wish to adopt on each microservice. By this, an attacker who is able to exploit one of your services may not necessarily be able to figure out how to exploit the second one.;X;X;1
58;Own crypto code;It is advised that when it comes to security you shouldn�t try to roll your own new solutions and algorithms unless you�ve got strong and specific reasons to;Use already validated solutions;you�ve got people skilled enough to create something nearly as good as the open source tools already available;X;X;1
58;Publicly accessible microservices;"Get your containers out of the public network.n API gateway establishes a single entry point for all requests coming from all clients. It subsequently knows how to provide an interface for all of your microservices.";Use API Gateway;By using this technique you can secure all of your microservices behind a firewall, allowing the API gateway to handle external requests and then talk to the microservices behind the firewall.;X;X;1
58;Non-scalable security controls;;Continuous Security Testing;The best solution for Microservices Security is continuous security that is as flexible and agile as your development;X;X;1
59;Non-proactive security;Third-party dependencies make up 80% of the code you deploy to production. Many of the libraries we use to develop software depend on other libraries. Transitive dependencies lead to a (sometimes) large chain of dependencies, some of which might have security vulnerabilities.;Keep third-party components up to date;You can use a scanning program on your source code repository to identify vulnerable dependencies. You should scan for vulnerabilities in your deployment pipeline, in your primary line of code, in released versions of code, and in new code contributions.;X;X;1
59;Non-secure communication;;Use transport Layer Security (TLS);You should use HTTPS everywhere, even for static sites. If you have an HTTP connection, change it to an HTTPS one.;X;X;1
59;Non-standard Authorization;;Use OAuth 2.0;"OAuth 2.0 has provided delegated authorization since 2012. OpenID Connect added federated identity on top of OAuth 2.0 in 2014. Together, they offer a standard spec you can write code against and have confidence that it will work across IdPs (Identity Providers).f you�re communicating between microservices, you can use OAuth 2.0�s client credentials flow to implement secure server-to-server communication";X;X;1
59;Hardcoded secrets;"When you develop microservices that talk to authorization servers and other services, the microservices likely have secrets that they use for communication. These secrets might be an API key, or a client secret, or credentials for basic authentication.The #1 rule for secrets is don�t check them into source control.";Encrypt secrets at rest;The first step to being more secure with secrets is to store them in environment variables. But this is only the beginning. You should do your best to encrypt your secrets.;X;X;1
59;Non-scalable security controls;Dependency and container scanning should be part of your source control monitoring system, but you should also perform tests when executing your CI (continuous integration) and CD (continuous delivery) pipelines.;DevSecOps;DevSecOps is the term many recommend instead of DevOps to emphasize the need to build security into DevOps initiatives.;X;X;1
59;Non-proactive security;If someone tries to attack your APIs with hundreds of gigs of username/password combinations, it could take a while for them to authenticate successfully. If you can detect this attack and slow down your service, it�s likely the attacker will go away. It�s simply not worth their time.;Use attack mitigation techniques;You can implement rate-limiting in your code (often with an open-source library) or your API Gateway. I�m sure there are other options, but these will likely be the most straightforward to implement.;X;X;1
59;Non-proactive security;The idea behind time-based security is that your system is never fully secure�someone will break in. Preventing intruders is only one part of securing a system detection and reaction are essential, too.;Use attack mitigation techniques;"Use multi-factor authentication to slow down intruders, but also to help detect when someone with elevated privilege authenticates into a critical server (which shouldn�t happen that often). If you have something like a domain controller that controls network traffic, send an alert to your network administrator team whenever there�s a successful login.This is just one example of trying to detect anomalies and react to them quickly.";X;X;1
60;Publicly accessible microservices;;Use API Gateway;"Pros of API Gateway: High security via SSL termination, Authentication, and Authorization.n large Corporations, API Gateway is compulsory to centralize security and cross-cutting concerns.";X;X;1
60;Giant API Gateway;The Mobile client's API requirements are usually different from Web client as they have different screen size, display, performance, energy source, and network bandwidth.;Use Backend for Frontend;"In a highly secured scenario where downstream Microservices are deployed in a DMZ network, the BFF�s are used to provide higher security.se BFF If an extra layer is needed between the UI and Downstream Microservices for Security reasons.";X;X;1
61;Trust the Network;Over time, trust-the-network has become an antipattern, and the industry is moving toward zero-trust networking principles.;Zero Trust Network;With zero-trust networking principles, you carry out security much closer to each resource in your network. Any microservices security design must take overall performance into consideration and must take precautions to address any drawbacks.;X;X;1
61;Non-standard identity propagation;The challenge is to build trust between two microservices so that the receiving microservice accepts the user context passed from the other one. You need a way to verify that the user context passed among microservices isn�t deliberately modified.;Use JSON Web Tokens (JWT);Using a JSON Web Token (JWT) is one popular way to share user context among microservices;X;X;1
62;Publicly accessible microservices;"The first step is to isolate and expose only the top-level services and completelyestrict access to other services. We thus reduce the attack surface, thereby focusing on securing the few top-level services";Use API Gateway;"For instance, only the top-level services are wired to an external load balancer or API gateway, while others are unreachable from outside theomain.";X;X;1
62;Non-secure communication;"Lack of transparency of cloud infrastructure prompts enterpriseso deem securing communication between microservices critical.";Transport Layer Security (TLS) mutual authentication;"One of the standard ways to do this is via MTLS (mutual transport layer security). Mutual TLS enforces bothlient and server to authenticate each other.";X;X;1
62;Centralized authorization;top-level services need to follow security policies to safeguard content and delivery. However, enforcing policies requires standardized IAA (identification, authentication, and authorization).;Use a token-based approach;Standard techniques such as SAML, OAuth2, and OIDC allow authentication and authorization between clients and services. These techniques enable clients to obtain a token that encapsulates identification and authentication information.;X;X;1
63;Decentralised authentication;"It is inconvenient that everyone might have to login separately for different systems, under a various usernames and passwords for each, and having complexity herey forcing a broker to do this job";Centralise authentication;"Among the many possible ways to have a strong Authentication and Authorization, is the use of Single Sign On gateways because these can avoid the use of libraries that, despite they help to reduce duplicated code, rely in shared one.bjective is centralized behaviors foredirecting the user and perform the handshake in only one place.";X;X;1
63;Non-secure communication;"In Microservices, services must communicate with each other in an implicit way and are exposed to a man-in-themiddlettack.";Use transport Layer Security (TLS);It is advisable to use HTTPS instead of HTTP basic authentication not just due to the fact of encrypting user and password information. Using HTTPS guarantees that a given client is communicating with whom he wants to, providing additional protection against people eavesdropping on the traffic between client-server or messing with the payload.;X;X;1
63;Non-encrypting sensitive data;"Many breaches take place in protected environments, and information is attainable just because it is reachable at aiven poorly secured point, as opposite areas of the system that well-guarded and consist in a costly attack target.";encrypt data at rest;its necessary to assure that data laying-around is contained in an encrypted way.;X;X;1
63;No layered security;"Microservices acts in layer or cells, so designing a system that can act like an onion thus providing layer of securitys essential.";use defense-in-depth;defense in depth is probably a last line of defense when the others are lingering or failing, so, the architecture of a given app should consider firewall over main layers of service controlling every port and service passing through it, recurring to deep packet inspection which is a combining technology of intrusion detection system and intrusion prevention systems with a stateful firewall;X;X;1
